Outlet Name,Address,Phone,Email,Website,Open Hours,NDIS Category,Y,X
Coordination Hub Australia,"12 Dimboola Road, Broadmeadows, VIC 3047",0413 616 432,gamal@careon.com.au,careon.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-37.6826691,144.9170614
Neurolife,"2 George Street, Doncaster East, VIC 3109",0424 017 771,physio@neurolife.com.au,www.neurolife.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-37.7827254,145.1622803
Konekt Ballarat,"Suite 5, Ballarat Family Health Care, 1050 Howitt Street, Ballarat, VIC 3350",1300 723 375,ndis@konekt.com.au,www.konekt.com.au,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM",Professional Therapy for Autistic Children,-37.540594,143.8378686
Rivergum Allied Therapies,"708 Skipton Street, Redan, VIC 3350",03 4310 2686,info@rivergumalliedtherapies.com.au,www.rivergumalliedtherapies.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-37.5782556,143.8424471
"KidsPT- Bundoora, Physiotherapist","43 Hughes Circuit, Bundoora, VIC 3083",03 9490 0999,info@kidspt.com.au,www.kidspt.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-37.6875237,145.0730579
Adapt OT,"108 Gheringhap Street, Geelong, VIC 3220",0433 195 408,peta@adaptot.com.au,www.adaptot.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-38.1517932,144.3553412
Kieser Caulfield,"189-191 Balaclava Road, Caulfield North, VIC 3161",03 8554 1155,caulfield@kieser.com.au,www.kieser.com.au,"Monday: 6AM-8PM, Tuesday: 6AM-8PM, Wednesday: 6AM-8PM, Thursday: 6AM-8PM, Friday: 6AM-7PM, Saturday: 7AM-3PM, Sunday: 8AM-1PM",Professional Therapy for Autistic Children,-37.8726875,145.0225974
Noahs Ark - Bairnsdale,"306 Main St, Bairnsdale, VIC 3875",1800 819 140,hello@noahsarkinc.org.au,www.noahsarkinc.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-37.8268353,147.6252904
Everyday Independence Peninsula,"Unit 2, 10 Blamey Place, Mornington, VIC 3931",1300 179 131,mytherapy@everydayind.com.au,www.everydayind.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-38.2213201,145.0404559
North East Life Yarrawonga,"24 Belmore Street, Yarrawonga, VIC 3730",03 5743 1142,yarrawonga@nelife.com.au,www.nelife.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-36.0096239,146.0048561
Pace Occupational Therapy,"24 Yuille Street, Frankston, VIC 3199",03 9770 6770,info@pacehm.com.au,www.pacehm.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-38.1532745,145.1245717
genU Karingal St Laurence Barwon,"21-29 Reynolds Road, Highton, VIC 3216",1300 558 368,coporate@genu.org.au,www.genu.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-38.1874497,144.3239436
Konekt Cranbourne,"201 High Street, Cranbourne, VIC 3977",1300 723 375,ndis@konekt.com.au,www.konekt.com.au,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM",Professional Therapy for Autistic Children,-38.1031753,145.281978
North East Life Wodonga,"Wodonga Sports & Leisure Centre, 2 Hedgerow Ct, West Wodonga, VIC 3690",02 6059 7668,wodonga@nelife.com.au,www.nelife.com.au,"Monday: 7AM-10AM, Tuesday: 9AM-5PM, Wednesday: 7AM-10AM, Thursday: 9AM-5PM, Friday: 7AM-10AM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-36.127152,146.863127
Therapy Pro - NE Melbourne,"Mobile Service - We Come To You!, Hotham St, Preston, VIC 3072",1300 004 414,info@therapypro.com.au,www.therapypro.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-37.7491783,145.0069914
Bayside Counselling and Consultation Pty,"Suite 5a, 70 Kingsway, Glen Waverley, VIC 3150",03 9781 0155,info@byasidecounselling.com.au,www.baysidecounselling.com.au,"Monday: 9AM-6PM, Tuesday: 9AM-6PM, Wednesday: 9AM-6PM, Thursday: 9AM-6PM, Friday: 9AM-6PM",Professional Therapy for Autistic Children,-37.8806815,145.1639999
Mastering Our Minds,"Suite 1, 428 Burke Road, Camberwell, VIC 3124",03 9835 9988,susan@mom.com.au,www.mom.com.au,"Monday: 12PM-8PM, Tuesday: 12PM-8PM, Wednesday: 12PM-8PM, Thursday: 12PM-8PM, Friday: 12PM-8PM",Professional Therapy for Autistic Children,-37.8443907,145.0546349
Speaking of Learning Speech Pathology,"10-12 Warrandyte Road, Ringwood, VIC 3134",03 9873 7043,info@speakingoflearning.com.au,www.speakingoflearning.com.au,Monday: 9AM-5PM,Professional Therapy for Autistic Children,-37.8131121,145.2311427
Physio Plus Cheltenham,"Unit 1, 12 Jamieson Street, Cheltenham, VIC 3192",03 9553 7024,cheltenham@physioplus.com.au,www.physioplus.com.au,"Monday: 7AM-7PM, Tuesday: 7AM-7PM, Wednesday: 7AM-7PM, Thursday: 7AM-7PM, Friday: 7AM-7PM",Professional Therapy for Autistic Children,-37.9608215,145.0555525
Cathartic Consulting,"72a Lincoln Road, Essendon, VIC 3040",0411 576 573,info@catharticconsulting.com.au,www.catharticconsulting.com.au,"Monday: 8AM-8PM, Tuesday: 8AM-8PM, Wednesday: 8AM-8PM, Thursday: 8AM-8PM, Friday: 8AM-8PM, Saturday: 8AM-5PM",Professional Therapy for Autistic Children,-37.745996,144.9100249
National 360 Deer Park,"Office 10 & 11, 19 Radnor Drive, Deer Park, VIC 3023",1300 340 440,vic@national360.com.au,www.national360.com.au,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM",Professional Therapy for Autistic Children,-37.7819451,144.7741333
National 360 Bundoora,"8b, 9 Ormond Boulevard, Bundoora, VIC 3083",1300 340 440,vic@national360.com.au,www.national360.com.au,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM",Professional Therapy for Autistic Children,-37.6789621,145.0712379
Noahs Ark - Ballarat,"25 Barkly Street, Ballarat East, VIC 3350",1800 819 140,hello@noahsarkinc.org.au,www.noahsarkinc.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-37.5640498,143.8690385
One Step Two Step - Carnegie,"Suite 1, 63 Rosstown Road, Carnegie, VIC 3163",03 7302 8333,info@onesteptwostep.com.au,www.onesteptwostep.com.au,"Monday: 7AM-5PM, Tuesday: 7AM-5PM, Wednesday: 7AM-5PM, Thursday: 7AM-5PM, Friday: 7AM-5PM",Professional Therapy for Autistic Children,-37.8858245,145.0565637
Foot Choice & Allied Health,"269 Barkly Street, Footscray, VIC 3011",03 9687 2365,info@footchoice.com.au,https://www.footchoice.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM",Professional Therapy for Autistic Children,-37.799584,144.8952931
Splash Paediatric Therapy - Werribee Cli,"242 Hoppers Lane, Werribee, VIC 3030",03 8731 6555,info@splashtherapy.com.au,www.splashtherapy.com.au,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM, Saturday: 9AM-5PM",Professional Therapy for Autistic Children,-37.8864289,144.701105
Living Without Boundaries,"2 Coxs Garden, Williamstown, VIC 3016",03 8418 3618,carly@livingwb.com.au,www.livingwb.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-37.8586267,144.8988984
Gippsland Physiotherapy Group,"11-15 Lloyd Street, Moe, VIC 3825",03 5126 1349,moe@gpg.com.au,www.physiochoice.com.au,"Monday: 8AM-7PM, Tuesday: 8AM-7PM, Wednesday: 8AM-7PM, Thursday: 8AM-7PM, Friday: 8AM-6PM, Saturday: 8AM-12PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-38.1774534,146.2633574
MYPHYSIO HUB,"10 Elmtree Terrace, Chadstone, VIC 3148",0405 004 379,info.myphysiohub@gmail.com,www.myphysiohub.com,"Tuesday: 8AM-4PM, Friday: 4PM-8PM, Saturday: 8AM-1PM",Professional Therapy for Autistic Children,-37.8825633,145.106646
Yooralla's Comm and Assistive Tech,"49 Sun Crescent, Sunshine, VIC 3020",1800 966 725,intake@yooralla.com.au,www.yooralla.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-37.7863649,144.8278802
MATRIX NEUROPSYCHOLOGY,"Suite 3 493-495 Keilor Road, Niddrie, VIC 3042",03 7015 2194,admin@matrixnp.com.au,www.matrixnp.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-1PM",Professional Therapy for Autistic Children,-37.7359167,144.8880312
Kieser Collingwood,"370 Smith Street, Collingwood, VIC 3066",03 9445 7900,collingwood@kieser.com.au,www.kieser.com.au,"Monday: 6AM-8PM, Tuesday: 6AM-8PM, Wednesday: 6AM-8PM, Thursday: 6AM-8PM, Friday: 6AM-7PM, Saturday: 7AM-3PM, Sunday: 8AM-1PM",Professional Therapy for Autistic Children,-37.7978857,144.9846335
Everyday Independence - North Eastern Me,"Unit 24, 1 Danaher Drive, South Morang, VIC 3752",1300 179 131,mytherapy@everydayind.com.au,www.everydayind.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-37.6498728,145.0800494
AID & ABET PTY LTD,"Unit 2, 10 Shirley Street, Fawkner, VIC 3060",0481 943 690,info@aidabetds.com.au,www.carelife.com.au,"Monday: 9AM-9PM, Tuesday: 9AM-9PM, Wednesday: 9AM-9PM, Thursday: 9AM-9PM, Friday: 9AM-9PM, Saturday: 9AM-9PM, Sunday: 9AM-9PM",Professional Therapy for Autistic Children,-37.7029763,144.9627806
National 360 Wodonga,"Level 1, Office 18, 38 High Street, Wodonga, VIC 3690",1300 340 440,vic@national360.com.au,www.national360.com.au,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM",Professional Therapy for Autistic Children,-36.1147644,146.8924918
WHR Allied Health,"40 Baines Crescent, Torquay, VIC 3228",03 5261 9037,admin@whralliedhealth.com,www.whralliedhealth.com,"Monday: 6AM-9PM, Tuesday: 6AM-9PM, Wednesday: 6AM-9PM, Thursday: 6AM-9PM, Friday: 6AM-9PM, Saturday: 10AM-2PM, Sunday: 10AM-2PM",Professional Therapy for Autistic Children,-38.32619,144.3130934
Prag Consulting,"Unit 7, 385 Belmore Road, Balwyn, VIC 3103",0499 778 999,info@pragconsulting.com.au,https://www.pragconsulting.com.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-37.8038363,145.1012902
neurocare East Melbourne,"232 Victoria Parade, East Melbourne, VIC 3002",03 9816 8811,eastmelbourne@neurocaregroup.com,www.listenandlearn.com.au,Monday: 9AM-5PM,Professional Therapy for Autistic Children,-37.8091875,144.9796418
Kieser Essendon,"26 Leake St, Essendon, VIC 3040",03 9326 1111,essendon@kieser.com.au,www.kieser.com.au,"Monday: 6AM-8PM, Tuesday: 6AM-8PM, Wednesday: 6AM-8PM, Thursday: 6AM-8PM, Friday: 6AM-7PM, Saturday: 7AM-3PM, Sunday: 8AM-1PM",Professional Therapy for Autistic Children,-37.7466015,144.9098593
Noahs Ark - Bendigo,"10 Merino Ct, Bendigo, VIC 3550",1800 819 140,hello@noahsarkinc.org.au,www.noahsarkinc.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-36.7526549,144.3066803
Play Therapy Melbourne Moonee Ponds,"Mt Alexander Road, Moonee Ponds, VIC 3039",03 9439 2450,enquiries@playtherapymelbourne.com,www.playtherapymelbourne.com,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM, Saturday: 8AM-5PM",Professional Therapy for Autistic Children,-37.7617643,144.9215262
Living Without Boundaries Occupational T,"Unit 3, 127 Bolton Street, Eltham, VIC 3095",0435 750 292,carly@livingwb.com.au,www.livingwb.com.au,"Monday: 12PM-3PM, Tuesday: 9AM-5PM, Wednesday: 10AM-7PM, Thursday: 10AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-10AM, Sunday: 9AM-10AM",Professional Therapy for Autistic Children,-37.731733,145.134357
Building Blocks Thearpy Bundoora,"Unit 5, 19 Enterprise Drive, Bundoora, VIC 3083",03 9404 0338,info@buildingblockstherapy.com.au,www.buildingblockstherapy.com.au,Monday: 9AM-5PM,Professional Therapy for Autistic Children,-37.6849329,145.0708854
Thrive4Life Therapy,"30 Welsford Street, Shepparton, VIC 3630",0429 955 851,admin@thrive4lifeot.com.au,https://www.thrive4lifeot.com.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-36.3755778,145.3985707
Yooralla's Support Coordination Bayside,"319 Neerim Rd, Carnegie, VIC 3163",1800 966 725,intake@yooralla.com.au,www.yooralla.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-37.8894403,145.0576673
Hallmark OT - Wellington,"Mobile Service, Acacia Court, Sale, VIC 3850",0429 557 127,admin@hws.net.au,https://www.hallmarkoccupationaltherapy.com.au,"Monday: 9AM-4PM, Tuesday: 9AM-4PM, Wednesday: 9AM-4PM, Thursday: 9AM-4PM, Friday: 9AM-4PM, Saturday: 10AM-1PM, Sunday: 11AM-1PM",Professional Therapy for Autistic Children,-38.1161215,147.0919209
Play Therapy Melbourne - Geelong,"337 Ryrie Street, Geelong, VIC 3220",03 9439 2450,enquiries@playthearpymelbourne.com,www.playtherapymelbourne.com,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM, Saturday: 8AM-5PM",Professional Therapy for Autistic Children,-38.1515087,144.3685382
Community Solutions,"1253 Nepean Highway, Cheltenham, VIC 3192",1300 770 145,angela.brown@communitysolutions.org.au,www.communitysolutions.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-37.961024,145.0552378
"KidsPT- Reservoir, Physiotherapist","1/11 Borrie Street, Reservoir, VIC 3073",03 9490 0999,info@kidspt.com.au,www.kidspt.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-37.7072902,145.019764
Grow Psychology Pty Ltd,"82 Reid St, South Morang, VIC 3752",03 9847 0833,info@growpsychology.co.au,growpsychology.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM",Professional Therapy for Autistic Children,-37.652001,145.0897041
Everyday Independence Ballarat,"223 Doveton Street South, Ballarat Central, VIC 3350",1300 179 131,mytherapy@everydayind.com.au,www.everydayind.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-37.5657334,143.8540546
ENRICH PHYSIO - TAYLORS HILL,"Taylors Hill Village, Taylors Hill Boulevard, Taylors Hill Village, VIC 3037",1300 236 742,admin@enrichphysio.com.au,www.enrichphysio.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Professional Therapy for Autistic Children,-37.707446,144.748452
National 360 Geelong,"Office 4, 343 Pakington Street, Newtown, VIC 3220",1300 340 440,vic@national360.com.au,www.national360.com.au,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM",Professional Therapy for Autistic Children,-38.1573077,144.3449268
Living Without Boundaries,"95 Ferguson Street, Williamstown, VIC 3016",03 8418 3618,adminsupport@livingwb.com.au,https://livingwb.com.au/,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM, Saturday: 9AM-1PM",Professional Therapy for Autistic Children,-37.859053,144.896702
Physio Plus Footscray,"1-3 Whitehall Street, Footscray, VIC 3011",03 9689 0222,footscray@physioplus.com.au,www.physioplus.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-37.8017418,144.9060502
Birch tree Psyhcology,"125 Wills Street, Bendigo, VIC 3550",03 5454 3956,accounts.bendigo@succoris.com.au,www.succoris.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-36.7668452,144.2759117
Everyday Independence North Western Melb,"31 Craigieburn Road, Craigieburn, VIC 3064",1300 179 131,mytherapy@everydayind.com.au,www.everydayind.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Professional Therapy for Autistic Children,-37.5990602,144.9392273
Everyday Independence Bayside,"942 Nepean Highway, Moorabbin, VIC 3189",1300 179 131,mytherapy@everydayind.com.au,www.everydayind.com.au,"Monday: 8AM-6PM, Tuesday: 8AM-6PM, Wednesday: 8AM-6PM, Thursday: 8AM-6PM, Friday: 8AM-6PM, Saturday: 8AM-6PM, Sunday: 8AM-6PM",Professional Therapy for Autistic Children,-37.93667,145.036734
National 360 Dandenong,"Unit 2, 80 Monash Drive, Dandenong South, VIC 3175",1300 340 440,vic@national360.com.au,www.national360.com.au,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM",Professional Therapy for Autistic Children,-38.0402507,145.2427099
Elevate Physiotherapy and Pilates,"218 Whitehorse Road, Balwyn, VIC 3103",03 9836 1126,admin@elevatephysiobalwyn.com.au,https://www.elevatephysiobalwyn.com.au/,"Monday: 8AM-8PM, Tuesday: 8AM-8PM, Wednesday: 8AM-8PM, Thursday: 8AM-8PM, Friday: 8AM-8PM, Saturday: 8AM-2PM",Professional Therapy for Autistic Children,-37.8129587,145.080617
Kids Plus Foundation,"75 Pigdons Road, Waurn Ponds, VIC 3216",03 5223 1475,info@kidsplus.org.au,www.kidsplus.org.au,"Monday: 8AM-6PM, Tuesday: 8AM-6PM, Wednesday: 8AM-6PM, Thursday: 8AM-6PM, Friday: 8AM-6PM",Professional Therapy for Autistic Children,-38.2006616,144.3015601
