Education_Sector,School_Name,Address_Line,Address_Town,Address_State,Address_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,Merriang Special Developmental School,11 Duncan Road,Lalor,VIC,3075,03 9464 3011,707,Whittlesea (C),145.01508,-37.66724
Government,Warragul & District Specialist School,55 Burke Street,Warragul,VIC,3820,03 5623 1385,83,Baw Baw (S),145.92506,-38.16489
Government,Western Autistic School,1 Burnley Street,Laverton,VIC,3028,03 9097 2000,311,Hobsons Bay (C),144.77807,-37.85078
Government,Warracknabeal Special Developmental School,5 Werrigar Street,Warracknabeal,VIC,3393,03 5398 2564,763,Yarriambiack (S),142.39075,-36.25761
Government,Bendigo Special Developmental School,26-32 Lockwood Road,Kangaroo Flat,VIC,3555,03 5447 3267,262,Greater Bendigo (C),144.24015,-36.79587
Government,Echuca Twin Rivers Specialist School,66 Wilkinson Drive,Echuca,VIC,3564,03 5410 7700,137,Campaspe (S),144.72461,-36.13829
Government,Eastern Ranges School,56 Dorset Road,Ferntree Gully,VIC,3156,03 9758 3772,367,Knox (C),145.28492,-37.88042
Government,Niddrie Autistic School,Cnr Garnet And Teague Street,Niddrie,VIC,3042,03 9112 8112,506,Moonee Valley (C),144.88706,-37.74393
Government,Barwon Valley School,76 - 94 Laura Avenue,Belmont,VIC,3216,03 5243 1813,275,Greater Geelong (C),144.32804,-38.17878
Government,Marnebek School Cranbourne,9 New Holland Drive,Cranbourne East,VIC,3977,03 5996 3858,161,Casey (C),145.2965,-38.1102
Government,East Gippsland Specialist School,31 Calvert Street,Bairnsdale,VIC,3875,03 5152 5922,211,East Gippsland (S),147.599,-37.82871
Government,South Gippsland Specialist School,13 Horn Street,Leongatha,VIC,3953,03 5662 4496,617,South Gippsland (S),145.95729,-38.47819
Government,Aurora School,96 Holland Road,Blackburn South,VIC,3130,03 8878 9878,698,Whitehorse (C),145.15079,-37.84018
Government,Officer Specialist School,3 Parker Street,Officer,VIC,3809,03 5943 2800,145,Cardinia (S),145.41131,-38.07079
Government,Jacana School for Autism,19-39 Landy Road,Jacana,VIC,3047,03 9309 6258,327,Hume (C),144.91309,-37.68762
Government,Hamlyn Views School,45 Calvert St,Hamlyn Heights,VIC,3215,03 5215 5700,275,Greater Geelong (C),144.33237,-38.12528
Government,Endeavour Hills Specialist School,12-38 Amalfi Drive,Endeavour Hills,VIC,3802,03 9113 4100,161,Casey (C),145.24388,-37.97889
Government,Wayi School,1200 Aitken Boulevard,Craigieburn,VIC,3064,03 7300 6600,327,Hume (C),144.92108,-37.57591
Government,Dharra School,42 Recreation Road,Aintree,VIC,3336,03 7033 2500,465,Melton (C),144.66501,-37.71088
Government,Nganboo Borron School,2 Frome Crescent,Werribee,VIC,3030,03 8764 3700,726,Wyndham (C),144.60334,-37.90793
Government,Hampton East School,1B Dane Road,Hampton East,VIC,3188,03 9555 6141,91,Bayside (C),145.03181,-37.93896
Government,Bass Coast Specialist School,6 Mckenzie Street,Wonthaggi,VIC,3995,03 5672 4474,74,Bass Coast (S),145.59647,-38.60974
Government,Parkville College,900-930 Park Street,Parkville,VIC,3052,03 5421 3100,460,Melbourne (C),144.94736,-37.77682
Independent,Rossbourne School,131 Power Street,HAWTHORN,VIC,3122,03 9819 4611,111,Boroondara (C),145.02655,-37.82304
Independent,St Paul's College Balwyn,3 Brenbeal Street,BALWYN,VIC,3101,03 8595 2470,111,Boroondara (C),145.08686,-37.81235
Independent,The Currajong School,90 Darling Road,MALVERN EAST,VIC,3145,03 9571 7869,635,Stonnington (C),145.05995,-37.87595
Independent,Berengarra School,43 Harrison Street,BOX HILL NORTH,VIC,3129,03 9898 9167,698,Whitehorse (C),145.13214,-37.80388
Independent,Cheshire School,16 Woodlea Drive,GLEN WAVERLEY,VIC,3150,03 9132 6320,497,Monash (C),145.15745,-37.90226
Independent,Andale School,84 Charles Street,KEW,VIC,3101,03 9853 3911,111,Boroondara (C),145.03604,-37.80551
Independent,Frank Dando Sports Academy,33 Raymond Street,ASHWOOD,VIC,3147,03 9807 2111,497,Monash (C),145.10889,-37.8668
Independent,Worawa Aboriginal College,60 - 80 Barak Lane,HEALESVILLE,VIC,3777,03 5962 4344,745,Yarra Ranges (S),145.50922,-37.68452
Independent,Mansfield Autism Statewide Services,81 Highett Street,MANSFIELD,VIC,3722,03 5775 2876,425,Mansfield (S),146.08586,-37.0608
Independent,Kamaruka,52 River Street,SOUTH YARRA,VIC,3141,03 9826 0330,635,Stonnington (C),144.99768,-37.83762
Independent,Berry Street Victoria Inc,17 Cranbourne Road,NARRE WARREN,VIC,3805,03 9429 9266,267,Greater Dandenong (C),145.30575,-38.03025
Independent,Indie Education,63 - 67 High Street,WODONGA,VIC,3690,02 6043 8200,717,Wodonga (C),146.8894,-36.11803
Independent,EdSpace,24 Carrier Street,BENALLA,VIC,3672,03 5762 5543,101,Benalla (RC),145.9843,-36.54767
Independent,Community College Gippsland,71 Warragul-Korumburra Road,WARRAGUL,VIC,3820,03 5622 6000,83,Baw Baw (S),145.92622,-38.17823
Independent,Cire Community School | Cire Training,"Level 1, 7-9 John St",LILYDALE,VIC,3140,1300 835 235,745,Yarra Ranges (S),145.34398,-37.75716
Independent,Melbourne Indigenous Transition School,371 Church St,RICHMOND,VIC,3121,03 9429 3220,460,Melbourne (C),144.98926,-37.81954
Independent,Giant Steps Melbourne,11 Malmsbury Street,KEW,VIC,3101,03 9853 9578,111,Boroondara (C),145.03148,-37.80222
Independent,Advance College of Education Incorporated,6 Henry Wilson Drive,ROSEBUD,VIC,3939,03 5986 4623,534,Mornington Peninsula (S),144.88506,-38.38285
Independent,Prace | Prace College | Preston Reservoir Adult Community Education,35 Sturdee Street,RESERVOIR,VIC,3073,03 9462 6077,189,Darebin (C),145.00926,-37.6987
Independent,River Nile School,"Level 1, 117 Capel Street",NORTH MELBOURNE,VIC,3051,03 9329 8425,460,Melbourne (C),144.95509,-37.80519
Independent,Brotherhood of St Laurence|David Scott School,22-26 High Street,FRANKSTON,VIC,3199,03 8781 5907,217,Frankston (C),145.11925,-38.14825
Independent,Hester Hornbrook Academy,"Level 8, 601 Bourke Street",MELBOURNE,VIC,3000,1800 517 218,590,Port Phillip (C),144.95615,-37.81654
Independent,Tombolo Academy,453 Bluff Road,HAMPTON,VIC,3188,03 9598 7552,91,Bayside (C),145.0235,-37.93846
Independent,Lyrebird College,5/12 Kelso Street,COLDSTREAM,VIC,3770,0407 175 507,745,Yarra Ranges (S),145.38227,-37.73304
