Registered Provider Name,Outlet Name,Address,Phone,Email,Website,Open Hours,NDIS Category,X,Y
Tubility Care,Tubility Care,"Unit 1 24 Taryn Drive, Epping, VIC 3076",0404 037 350,info@tubilitycare.com,www.tubilitycare.com,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.0039292,-37.6469272
Country N Coast Disability Services,Country n Coast Disability Support Servi,"14 Stanley Street, Wodonga, VIC 3690",02 5005 7290,admin@cncdisabilities.com.au,cncdisabilities.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,146.8866033,-36.122194
Complete Care Pty Ltd,Complete Care,"84-90 Hotham Street, Preston, VIC 3072",0431 728 583,info@completecareservices.com.au,www.completecareservices.com.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.0083245,-37.7468634
Connecting2australia,Community Connections - Frankston,"32 Cranbourne Road, Frankston, VIC 3199",1300 111 212,info@c2a.org.au,www.connecting2australia.org.au,"Monday: 9AM-3PM, Tuesday: 9AM-3PM, Wednesday: 9AM-3PM, Thursday: 9AM-3PM, Friday: 9AM-3PM",Daily Living & Family Support Services,145.1306525,-38.1455472
Aruma Services Victoria Limited,"Aruma 1 28 Highland Street, Kingsbury","Unit 1, 28 Highland Street, Kingsbury, VIC 3083",03 9466 9356,belinda.jacobs@aruma.com.au,www.aruma.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.038665,-37.716593
Outside The Box Education.,Outside The Box Education,"Unit 1, 5 Bridge Street, Newtown, VIC 3220",0480 293 555,hello@outsidetheboxedu.com,www.outsidetheboxedu.com.au,"Monday: 9AM-4PM, Tuesday: 9AM-4PM, Wednesday: 9AM-4PM, Thursday: 9AM-4PM, Friday: 9AM-4PM",Daily Living & Family Support Services,144.3365297,-38.1601396
Personalised Support Services,Personalised Support Services,"294-300 Thomas Street, Dandenong, VIC 3175",1300 687 777,info@psupportservices.com.au,www.psupportservices.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.212691,-37.985486
Opendoor Ltd,Opendoor - Broadmeadows,"70-80 Pearcedale Parade, Broadmeadows, VIC 3047",1800 611 579,disability@opendoor.org.au,www.opendoor.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.9200633,-37.6761665
Connecting2australia,Work Connections - Seaford,"29 Sir Laurence Drive, Seaford, VIC 3198",1300 111 212,info@c2a.org.au,www.connecting2australia.org.au,"Monday: 8AM-3PM, Tuesday: 8AM-3PM, Wednesday: 8AM-3PM, Thursday: 8AM-3PM, Friday: 8AM-3PM",Daily Living & Family Support Services,145.1427475,-38.1163606
The Leaper Corporation Pty. Ltd.,THE LEAPER CORPORATION,"2-18 Homestead Avenue, Wallington, VIC 3222",03 5297 3400,susan.halsall@tlcagedcare.com.au,https://www.tlchomesteadestate.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,144.5366089,-38.2226626
Leap In!,Leap in! Moonee Ponds,"Moonee Ponds, Moonee Ponds, VIC 3039",1300 057 878,crew@leapin.com.au,www.leapin.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.9198932,-37.7675363
Gellibrand Support Services,Medfield Ave,"44 Medfield Avenue, Avondale Heights, VIC 3034",03 9300 5400,services@gellibrand.org.au,www.gellibrand.org.au,"Monday: 7AM-10PM, Tuesday: 7AM-10PM, Wednesday: 7AM-10PM, Thursday: 7AM-10PM, Friday: 7AM-10PM, Saturday: 8AM-11PM, Sunday: 8AM-11PM",Daily Living & Family Support Services,144.864055,-37.7654773
People's First Choice Australia,Quartz Grove,"9 Quartz Grove, Epping, VIC 3076",0413 548 655,manny@peoplesfirstchoice.com.au,https://www.pfca.com.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,145.0341846,-37.6303588
Mambourin Enterprises,Mambourin - Sunshine,"50 Stanford Street, Sunshine, VIC 3020",03 9731 9200,contact@mambourin.org,www.mambourin.org,"Monday: 8AM-4PM, Tuesday: 8AM-4PM, Wednesday: 8AM-4PM, Thursday: 8AM-4PM, Friday: 8AM-4PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,144.8347016,-37.7930389
Super Community Care Pty Ltd,Super Community Care,"9 Bulong Street, Dandenong, VIC 3175",0434 104 447,info@supercommunitycare.com.au,www.supercommunitycare.com.au,Monday: 9AM-5PM,Daily Living & Family Support Services,145.2038344,-37.9843561
The Bridge Connects,The Bridge Connects Pakenham,"89-91 Slattery Place, Pakenham, VIC 3810",03 8710 8555,info@thebridgeinc.org.au,www.thebridgeinc.org.au,"Monday: 8AM-8PM, Tuesday: 8AM-8PM, Wednesday: 8AM-8PM, Thursday: 8AM-8PM, Friday: 8AM-8PM, Saturday: 8AM-8PM, Sunday: 8AM-8PM",Daily Living & Family Support Services,145.4864739,-38.0787398
Raycare Australia,Raycare Australia,"Unit 111, 2 Graystone Court, Epping, VIC 3076",0470 647 782,admin@raycare.com.au,www.raycare.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.9842583,-37.6481011
Estia Investments Pty. Ltd.,Estia Health Epping VIC,"Estia Health Epping, 30 Epping Road, Epping, VIC 3076",03 9408 8564,don@eppingagedcare.com.au,https://www.estiahealth.com.au/,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.0278065,-37.635261
Aurora Support Services Inc.,Aurora Support Services -Leisure Links,"26 Vasey Avenue, Lalor, VIC 3075",03 9401 1844,info@aurorasupportservices.org,www.aurorasupportservices.org.au,"Monday: 9AM-3PM, Tuesday: 9AM-3PM, Wednesday: 9AM-3PM, Thursday: 9AM-3PM, Friday: 9AM-3PM",Daily Living & Family Support Services,145.0207678,-37.6686069
Aj Supports,Aj Supports,"106 Patty Street, Mentone, VIC 3194",0418 114 713,jrnoonan@optusnet.com.au,https://ajsupports.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,145.0647373,-37.9782986
Wallara Australia Ltd.,Seaford Health Hub,"Unit 2 St Kilda Football Club Training F, 151 East Road, Seaford, VIC 3198",03 9792 2985,intake@wallara.com.au,www.wallara.com.au,"Monday: 8AM-4PM, Tuesday: 8AM-4PM, Wednesday: 8AM-4PM, Thursday: 8AM-4PM, Friday: 8AM-4PM",Daily Living & Family Support Services,145.1569504,-38.1054152
Elevate Support Care Pty Limited,Lazy Daisy Farm,"340 Korumburra-Warragul Road, Warragul, VIC 3820",0449 873 127,abhinav@elevatesupportcare.com.au,elevatesupportcare.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.9293654,-38.2015747
Opendoor Ltd,Opendoor - Werribee,"Suite 10, Level 1, 75 Watton Street, Werribee, VIC 3030",1800 611 579,disability@opendoor.org.au,www.opendoor.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.661397,-37.9014594
The Bridge Connects,The Bridge Connects-Athol Rd,"69-71 Athol Road, Springvale South, VIC 3172",1800 274 343,info@thebridgeinc.org.au,www.thebridgeinc.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,145.159733,-37.972279
Aspire Community Services,Aspire Community Services,"Bluff Road, Sandringham, VIC 3191",1300 080 405,info@aspirecommunityservices.com.au,www.aspirecommunityservices.com.au,Monday: 9AM-5PM,Daily Living & Family Support Services,145.0206959,-37.9537908
Eminent Care Pty Ltd,Eminent Care,"34 Manley Street, Epping, VIC 3076",0401 081 161,info.eminentcare@gmail.com,eminentcare.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 10AM-4PM",Daily Living & Family Support Services,145.0318465,-37.6330516
Opendoor Ltd,Opendoor - Northcote,"413 High Street, Northcote, VIC 3070",1800 611 579,disability@opendoor.org.au,www.opendoor.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.9990021,-37.7682312
Miti Health Care Pty Ltd,Miti Health Care,"223-225 Hampshire Road, Sunshine, VIC 3020",0492 668 668,info@miticare.com.au,www.miticare.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.831765,-37.785349
East Wimmera Health Service,Charlton Aged Care,"5 Learmonth Street, Charlton, VIC 3525",03 5477 2149,ndis@ewhs.org.au,www.ewhs.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,143.3523217,-36.2697124
Mopane Community Health Services,Mopane Community Health,"Unit 11, 2 Murdoch Road, South Morang, VIC 3752",03 8459 7020,admin@mopanehealth.com.au,www.mopanehealth.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,145.0866412,-37.6508168
Woods Point Aged Care,Woods Point Aged Care,"75-85 Orr Street, Yarrawonga, VIC 3730",03 5744 3400,marita@bentleywoodpl.com.au,www.bentleywoodpl.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,146.0139638,-36.0131729
Novacare Community Support,Novacare Community Support,"Level 2 Unit 217, 480 Collins Street, Melbourne, VIC 3000",0433 892 300,info@novacarecommunitysupport.com.au,https://novacarecommunitysupport.com.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.957957,-37.817664
We Care Providers,We Care Providers - Essendon,"L 2 1070 Mt Alexander Road, Essendon, VIC 3040",1800 634 746,info@wecareproviders.com.au,www.wecareproviders.com.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.9127144,-37.7475
West End Support Services,West End Support Services,"33 Steamboat Avenue, Winter Valley, VIC 3358",0438 517 201,debbie.jew@westendss.com.au,westendsupportservices.com.au,Monday: 9AM-5PM,Daily Living & Family Support Services,143.7984915,-37.5861764
Tch Care,TOTAL CARE AND HEALTH PTY LTD,"14 Vert Avenue, Narre Warren, VIC 3805",0468 808 070,adamhalango@gmail.com,tchcare.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.3214083,-38.0704995
Lighthouse Health & Support Services,Lighthouse Support,"200a Maroondah Highway, Healesville, VIC 3777",1800 877 914,hello@lighthousesupport.com.au,www.lighthousesupport.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.5133891,-37.6546116
Essa And More Pty Ltd,ESSA AND MORE PTY LTD,"Bronte Avenue, Burwood, VIC 3125",0477 079 987,services@essaandmore.com.au,https://essaandmore.com.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 10AM-1PM",Daily Living & Family Support Services,145.1230143,-37.8477399
Idv Inc.,Idv Inc.,"36 Green Street, Thomastown, VIC 3074",03 9450 0790,claing@idv.com.au,www.thebridgeinc.org.au,"Monday: 8AM-4PM, Tuesday: 8AM-4PM, Wednesday: 8AM-4PM, Thursday: 8AM-4PM, Friday: 8AM-4PM",Daily Living & Family Support Services,145.038731,-37.6909285
The Support People Pty Ltd,The Support People,"Ballarat Gas And Plumbing Service, 405 Pleasant Street, Ballarat Central, VIC 3350",1300 946 737,hello@thesupportpeople.com,www.thesupportpeople.com,"Monday: 9AM-4PM, Tuesday: 9AM-4PM, Wednesday: 9AM-4PM, Thursday: 9AM-4PM, Friday: 9AM-4PM",Daily Living & Family Support Services,143.8376058,-37.5689645
Mccallum Disability Services,McCallum Office St Arnaud,"1 Long St, St Arnaud, VIC 3478",03 5495 1566,intake@mccallum.org.au,www.mccallum.org.au,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,143.2476775,-36.6083682
West End Support Services,West End Support Services,"5/108 Smythes Road, Delacombe, VIC 3356",0460 856 109,debbie.jew@westendss.com.au,westendsupportservices.com.au,Monday: 9AM-5PM,Daily Living & Family Support Services,143.8161106,-37.5877786
Milparinka Disability Services Incorpora,Milparinka Disability Services,"160 Lord Street, Richmond, VIC 3121",03 9387 9985,frank.crupi@milparinka.org.au,www.milparinka.org.au,"Monday: 8AM-3PM, Tuesday: 8AM-3PM, Wednesday: 8AM-3PM, Thursday: 8AM-3PM, Friday: 8AM-3PM",Daily Living & Family Support Services,145.0038373,-37.8254006
Gellibrand Support Services,Gellibrand Support Services,"1 Willow Street, Werribee, VIC 3030",03 9300 5400,services@gellibrand.org.au,www.gellibrand.org.au,"Monday: 7AM-10PM, Tuesday: 7AM-10PM, Wednesday: 7AM-10PM, Thursday: 7AM-10PM, Friday: 7AM-10PM, Saturday: 8AM-11PM, Sunday: 8AM-11PM",Daily Living & Family Support Services,144.653589,-37.8907744
Best Of Homecare,Best Of Homecare,"236 Jobs Gully Road, Jackass Flat, VIC 3556",0481 342 338,admin@bestofhomecare.com.au,www.bestofhomecare.com.au,Monday: 9AM-5PM,Daily Living & Family Support Services,144.2802073,-36.707518
Melbourne Health & Care Services,Melbourne Health & Care Services Dandeno,"44-46 Potter Street, Dandenong, VIC 3175",1800 849 062,melbournehealthcareservices@gmail.com,https://www.melbournehealthcare.com.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.2063863,-37.9811765
Cosy Home And Community Care Pty. Ltd.,Cosy home and community care,"55 The Mall, Heidelberg West, VIC 3081",03 9457 5968,abdul@cosyhomecare.com.au,www.cosyhomecare.com.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,145.0423759,-37.7483787
Mckenzie Aged Care Group Pty Ltd,Mckenzie Aged Care Group,"17-21 Ashley Street, Reservoir, VIC 3073",03 9469 4900,theashley@mckenzieacg.com,"44 musk ave, kelvin grove brisbane","Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.0018767,-37.7179351
Uniting (Victoria And Tasmania),Uniting Vic & Tas - SLES Werribee,"1 Duncans Road, Werribee, VIC 3030",1300 090 989,employmentservices@unitingvictas.org.au,https://www.unitingvictas.org.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.6619102,-37.9012096
Encompass House Ltd.,Encompass house - Head Office,"912-914 High Street, Reservoir, VIC 3073",03 9383 3222,enquiries@encompasshouse.org.au,www.encompasshouse.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,145.007469,-37.719062
Annecto Incorporated,South Eastern Metro Region - Mornington,"Unit 21 Bentons Square Sc, 210 Dunns Road, Mornington, VIC 3931",03 9872 6700,eastern.allocations@annecto.org.au,www.annecto.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,145.0476235,-38.2453305
West End Support Services,12 Pontiac Supported SDA improved livabi,"12 Pontiac Drive, Smythes Creek, VIC 3351",0438 517 201,debbie.jew@westendss.com.au,westendsupportservices.com.au,"Monday: 8AM-6PM, Tuesday: 8AM-6PM, Wednesday: 8AM-6PM, Thursday: 8AM-6PM, Friday: 8AM-6PM, Saturday: 8AM-6PM, Sunday: 8AM-6PM",Daily Living & Family Support Services,143.7993924,-37.5920807
Care Provisions Australia,"407 Chesterville Road, East Bentleigh, V","407, Chesterville Road, East Bentleigh, VIC 3165",0406 370 244,charity.samuriwo@careprovisions.com.au,www.careprovisions.com.au/,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: 9AM-5PM, Sunday: 9AM-5PM",Daily Living & Family Support Services,145.0637758,-37.9243281
Bayley House,Bayley House,"52 Middle Crescent, Brighton, VIC 3186",03 9982 1500,contactus@bayleyhouse.org.au,www.bayleyhouse.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.9953122,-37.9096097
Knoxbrooke Incorporated,Yarra View Nursery,"136 York Road, Mount Evelyn, VIC 3796",03 9737 0400,scott.buckland@knoxbrooke.com.au,www.knoxbrooke.com.au,"Monday: 8AM-3PM, Tuesday: 8AM-3PM, Wednesday: 8AM-3PM, Thursday: 8AM-3PM, Friday: 8AM-3PM",Daily Living & Family Support Services,145.3636067,-37.7965265
Opendoor Ltd,Opendoor- Sunbury,"30 Station Street, Sunbury, VIC 3429",1800 611 579,disability@opendoor.org.au,www.opendoor.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.7282758,-37.5827517
Shepparton Retirement Villages Inc.,Banksia Lodge Residential Aged Care Serv,"Banksia Lodge, 15 Waranga Drive, Kialla, VIC 3631",03 5832 0800,helenm@sheppvillages.com.au,www.sheppvillages.com.au,"Monday: 12AM-11PM, Tuesday: 12AM-11PM, Wednesday: 12AM-11PM, Thursday: 12AM-11PM, Friday: 12AM-11PM, Saturday: 12AM-11PM, Sunday: 12AM-11PM",Daily Living & Family Support Services,145.3999971,-36.4180164
Gellibrand Support Services,Gellibrand Support Services,"24 Eppalock Circuit, Caroline Springs, VIC 3023",03 9300 5400,services@gellibrand.org.au,www.gellibrand.org.au,"Monday: 7AM-10PM, Tuesday: 7AM-10PM, Wednesday: 7AM-10PM, Thursday: 7AM-10PM, Friday: 7AM-10PM, Saturday: 8AM-11PM, Sunday: 8AM-11PM",Daily Living & Family Support Services,144.7368541,-37.7506711
Wellways Australia Limited,Wellways - Fairfield,"276 Heidelberg Road, Fairfield, VIC 3078",1300 111 400,cdsnational@wellways.org,www.wellways.org,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,145.0111463,-37.7845289
Wintringham,Wintringham-Gilgunya,"Gilgunya Village, 23 Harding Street, Coburg, VIC 3058",03 9376 1122,adviceandinfo@wintringham.org.au,www.wintringham.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.969583,-37.7452437
Great Ocean Stays - Destination Accessib,374 Aberdeen Street Newtown,"374 Aberdeen Street, Newtown, VIC 3220",0403 515 605,book@greatoceanstays.com.au,www.destinationaccessible.com.au,Monday: 9AM-5PM,Daily Living & Family Support Services,144.3273592,-38.1441318
Fighting Chance Australia,Fighting Chance Australia,"20 Trenerry Crescent, Abbotsford, VIC 3067",1300 166 734,cel.melbourne@jigsawaustralia.com.au,www.fightingchance.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,144.9999365,-37.7991973
Genu Karingal St Laurence,Genu Karingal St Laurence,"101 Queen Street, Colac, VIC 3250",1300 558 368,corporate@genu.org.au,www.genu.org.au,"Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM",Daily Living & Family Support Services,143.5912371,-38.3437857
Gellibrand Support Services,Gellibrand Support Services,"10-14 Linnet Street, Altona, VIC 3018",03 9300 5400,services@gellibrand.org.au,www.gellibrand.org.au,"Monday: 7AM-10AM, Tuesday: 7AM-10PM, Wednesday: 7AM-10PM, Thursday: 7AM-10PM, Friday: 7AM-10PM, Saturday: 8AM-11PM, Sunday: 8AM-11PM",Daily Living & Family Support Services,144.816053,-37.868073
Uniting (Victoria And Tasmania),Uniting Vic & Tas - Disability Day Progr,"185 Baillie Street, Horsham, VIC 3400",03 9192 8101,ndis@vt.uniting.org,https://www.unitingvictas.org.au/,Monday: 9AM-5PM,Daily Living & Family Support Services,142.198053,-36.7120385
Webster Support Services,Webster Support Services,"67 Sydney Road, Coburg, VIC 3058",0401 664 456,support@websterndissupport.com.au,www.websterndissupport.com.au,"Monday: 8AM-11PM, Tuesday: 8AM-11PM, Wednesday: 8AM-11PM, Thursday: 8AM-11PM, Friday: 8AM-11PM, Saturday: 8AM-11PM, Sunday: 8AM-11PM",Daily Living & Family Support Services,144.9642115,-37.753584
